id,amount,merchant
1,512.34,Amazon
2,4021.89,Walmart
3,1893.22,Unknown
4,98.55,Target
5,3055.12,Amazon
6,120.77,Unknown
7,7800.44,Walmart
8,45.90,Target
9,2500.33,Amazon
10,390.12,Unknown
11,5100.88,Walmart
12,130.55,Target
13,2200.10,Amazon
14,75.44,Unknown
15,3400.77,Walmart
16,180.22,Target
17,9000.55,Amazon
18,310.10,Unknown
19,2700.66,Walmart
20,150.33,Target
21,4800.12,Amazon
22,210.55,Unknown
23,3600.44,Walmart
24,95.22,Target
25,5200.77,Amazon
26,140.10,Unknown
27,2900.33,Walmart
28,88.55,Target
29,6100.99,Amazon
30,175.44,Unknown
